"geo_id","city","cases","population","rate"
"610345","Campbell","322","42470","758"
"617610","Cupertino","108","60614","178"
"629504","Gilroy","1382","55525","2489"
"643280","Los Altos","113","30588","369"
"643294","Los Altos Hills","31","8517","364"
"644112","Los Gatos","161","30922","521"
"647766","Milpitas","497","77457","642"
"648956","Monte Sereno","19","3492","544"
"649278","Morgan Hill","572","43876","1304"
"649670","Mountain View","530","80993","654"
"0","Other/Unknown","807","0",
"655282","Palo Alto","263","67019","392"
"668000","San Jose","12983","1026658","1265"
"669084","Santa Clara","911","126209","722"
"670280","Saratoga","105","30886","340"
"677000","Sunnyvale","879","152323","577"
