"fac_type","facility","staff","resident"
"Skilled Nursing","A Grace Subacute and Skilled Care","<11","<11"
"Skilled Nursing","Ally Home Care","<11","0"
"Skilled Nursing","Amberwood Gardens","<11","<11"
"Assisted Living","Belmont Village - Sunnyvale","<11","<11"
"Board and Care","Bonhomie Group","<11","<11"
"Assisted Living","Bridge Point Los Altos","<11","<11"
"Assisted Living","Brookdale San Jose","15","12"
"Skilled Nursing","Camden Post-Acute","<11","<11"
"Assisted Living","Campbell Village","<11","<11"
"Skilled Nursing","Canyon Springs Post-Acute Care","49","102"
"Skilled Nursing","Cedar Crest Nursing and Rehabilitation Center","17","47"
"CCRC*","Channing House","<11","<11"
"Independent Living","Chateau Cupertino","<11","0"
"Skilled Nursing","Children's Health of Northern California","<11","0"
"Skilled Nursing","Courtyard Care Center","<11","<11"
"Board and Care","Duraliza Care Home","0","<11"
"Skilled Nursing","Gilroy Health Care and Rehab Center","<11","<11"
"Skilled Nursing","Grant Cuesta Subacute & Rehabilitation","<11","<11"
"Assisted Living","Greenhills Manor","<11","0"
"Skilled Nursing","Herman Health Care Center","<11","<11"
"Skilled Nursing","Hillview Convalescent","<11","0"
"Skilled Nursing","Idylwood Care Center","<11","<11"
"Assisted Living","Laurel Haven","0","<11"
"CCRC*","Lincoln Glen Manor","<11","<11"
"Skilled Nursing","Los Altos Sub-Acute and Rehabilitation Center","<11","<11"
"Assisted Living","Lytton Gardens","0","<11"
"Skilled Nursing","ManorCare Health Services","<11","0"
"Assisted Living","Marian Hall","<11","<11"
"Skilled Nursing","Milpitas Care Center","<11","0"
"Skilled Nursing","Mission De La Casa Nursing & Rehabilitation Center","<11","<11"
"Skilled Nursing","Mission Skilled Nursing & Subacute Center","<11","<11"
"Assisted Living","Moldaw Residences","<11","0"
"Skilled Nursing","Mount Pleasant Nursing Center","18","43"
"Skilled Nursing","Mountain View Healthcare Center","<11","<11"
"Assisted Living","Oakmont of San Jose","<11","0"
"Skilled Nursing","Our Lady of Fatima Villa","<11","<11"
"Assisted Living","Pacific Gardens","17","13"
"Skilled Nursing","Pacific Hills Manor","<11","0"
"Assisted Living","Palo Alto Commons","<11","0"
"Skilled Nursing","Palo Alto Subacute","<11","<11"
"Skilled Nursing","Plum Tree Care Center","<11","0"
"Assisted Living","Rose Garden Court","<11","0"
"Assisted Living","Sacred Heart Jesuit Center","<11","0"
"Skilled Nursing","San Tomas Convalescent Hospital","<11","<11"
"CCRC*","Saratoga Retirement Community","<11","<11"
"Skilled Nursing","Skyline Healthcare Center","<11","<11"
"Independent Living","Sobrato Residential Care Home","0","<11"
"Skilled Nursing","Sunny View Manor","<11","<11"
"Assisted Living","Sunnyside Garden","<11","0"
"Assisted Living","Sunrise of Sunnyvale","<11","0"
"CCRC*","The Forum at Rancho San Antonio","<11","0"
"Skilled Nursing","The Redwoods Post-Acute","<11","0"
"CCRC*","The Terraces of Los Altos","<11","<11"
"CCRC*","The Terraces of Los Gatos","<11","<11"
"Assisted Living","Touch of Life","<11","0"
"Intermediate Care Facility","Tupaz Residential Care Home #11","<11","0"
"Intermediate Care Facility","Tupaz Residential Care Home #14","<11","0"
"Skilled Nursing","Valley House Rehabilitation Center","50","72"
"Skilled Nursing","Vasona Creek Healthcare Center","13","13"
"CCRC*","Vi at Palo Alto","<11","11"
"Assisted Living","Vila Monte Convalescent Home","0","<11"
"Assisted Living","Villa Fontana","24","35"
"CCRC*","Villa Siena","<11","0"
"Skilled Nursing","Vista Manor Nursing Center","<11","<11"
"Skilled Nursing","Webster House Health Center","<11","<11"
"Skilled Nursing","White Blossom Care Center","0","<11"
