"zipcode","cases","population","rate"
"94022","93","19378","480"
"94024","82","23961","342"
"94040","298","35845","831"
"94041","140","14394","973"
"94043","205","31488","651"
"94085","283","23612","1199"
"94086","363","49630","731"
"94087","229","57219","400"
"94089","183","22313","820"
"94301","117","17191","681"
"94304","31","3902","794"
"94305","24","15730","153"
"94306","127","27549","461"
"95002","36","2146","1678"
"95008","428","46513","920"
"95013","0","77","0"
"95014","145","62430","232"
"95020","1674","63852","2622"
"95030","58","13288","436"
"95032","153","26281","582"
"95035","632","77562","815"
"95037","659","51652","1276"
"95046","133","6025","2207"
"95050","472","39452","1196"
"95051","398","58123","685"
"95053","0","3678","0"
"95054","270","24264","1113"
"95070","132","31308","422"
"95110","549","20203","2717"
"95111","1601","62392","2566"
"95112","1028","61060","1684"
"95113","61","1939","3146"
"95116","1600","56481","2833"
"95117","545","29592","1842"
"95118","352","32560","1081"
"95119","71","10472","678"
"95120","208","37774","551"
"95121","522","38102","1370"
"95122","1842","57780","3188"
"95123","857","67186","1276"
"95124","324","51170","633"
"95125","600","53574","1120"
"95126","559","35988","1553"
"95127","1573","65686","2395"
"95128","436","37665","1158"
"95129","162","39828","407"
"95130","94","14863","632"
"95131","268","31170","860"
"95132","360","41844","860"
"95133","410","28726","1427"
"95134","174","27224","639"
"95135","90","22358","403"
"95136","680","47599","1429"
"95138","193","20766","929"
"95139","61","7293","836"
"95140","0","115","0"
"95148","604","48854","1236"
